ID do Vendedor,Nome do Vendedor,ID do Cliente,Nome do Cliente,Telefone do Cliente,Email do Cliente,ID do Produto,Nome do Produto,Preço do Produto,SKU do Produto
3,Julian Wehner,4,Heather Jenkins,394-935-3342,William_McLaughlin4@yahoo.com,22,Rustic Granite Mouse,331.00,800
3,Julian Wehner,5,Lawrence Bahringer,518.805.5349,Freida69@gmail.com,23,Incredible Frozen Chips,400.00,583
3,Julian Wehner,5,Lawrence Bahringer,518.805.5349,Freida69@gmail.com,24,Recycled Plastic Car,936.00,52748
3,Julian Wehner,5,Lawrence Bahringer,518.805.5349,Freida69@gmail.com,25,Elegant Concrete Table,946.00,31918
3,Julian Wehner,5,Lawrence Bahringer,518.805.5349,Freida69@gmail.com,26,Small Cotton Fish,434.00,24290
3,Julian Wehner,5,Lawrence Bahringer,518.805.5349,Freida69@gmail.com,27,Bespoke Rubber Pizza,682.00,0110
3,Julian Wehner,5,Lawrence Bahringer,518.805.5349,Freida69@gmail.com,28,Gorgeous Rubber Chicken,311.00,904
3,Julian Wehner,6,Enrique Labadie,800-896-2714,Kristoffer.Haley@hotmail.com,29,Handcrafted Wooden Table,812.00,8103
3,Julian Wehner,6,Enrique Labadie,800-896-2714,Kristoffer.Haley@hotmail.com,30,Oriental Soft Towels,750.00,9162
3,Julian Wehner,6,Enrique Labadie,800-896-2714,Kristoffer.Haley@hotmail.com,31,Bespoke Wooden Pants,756.00,214
